;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
67;-;subnet-xl;192.168.0.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
68;loft-bambang-v-hello-world;v103s8ugt059xu;10.168.177.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
69;loft-testingforenterprise-16122024-v-xxxxxxxx;v11d43mzwz6k5a;10.168.83.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
70;loft-ignis-inc-v-rag-pipeline;v12026r1sn2gfz;10.168.222.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
71;loft-perisai-cyberdefense-ltd-v-ai-cyberattack;v121x7vbb068tz;10.168.153.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
72;loft-perisai-cybersecurity-v-demo-ai-lintasarta;v12kw7ccyp16n3;10.168.144.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
73;loft-accenture-gpu-v-gpuaas-assessment;v13e9cldgcv465;10.168.23.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
74;loft-l2-jatiluhur-v-test-l2;v15sl692bqki5i;10.168.28.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
75;loft-ai-cloud-engineering-v-dekallm;v16fd954ufo9qv;10.168.10.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
76;loft-pt-sscx-teknovasi-prima-v-semai-id;v170vxz5r8wx39;10.168.96.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
77;loft-nosairis-v-demo-ai-lintas-arta;v17zfmhhofr5mu;10.168.38.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
78;loft-ioh-goto-v-goto-project-new;v196ikoedplzry;10.168.251.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
79;loft-ricardo-v-ricardo;v198uylrx6kk8o;10.168.63.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
80;loft-kementerian-perdagangan-ri-v-kemendagri;v19krv2s5595u5;10.168.255.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
81;loft-l2-jatiluhur-v-test-l2;v19pumk8048jh4;10.168.164.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
82;loft-cloudeka-isv-event-v-demo-isv-event;v19trw5alejtw6;10.168.142.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
83;loft-deka-registry-v-deka-registry;v1bvr16nst52qn;10.168.95.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
84;loft-universitas-gunadarma-v-skripsi;v1c0tiz9x1f40f;10.168.209.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
85;loft-ioh-goto-v-goto-project-new;v1cwedc0e5jqy3;10.168.20.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
86;loft-pp-airborne-v-pp-airborne;v1d46kyqqy4ivi;10.168.67.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
87;loft-internal-cloud-solution-v-cida-ai;v1e6awnasgvelr;10.168.62.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
